Date,a[au],e[],i[rad],node[rad],omega[rad],mA[rad]
2037 SEP 17 08:13:01.2571349143982,2.2336410950567998,0.62454834,0.002485074838147362,4.72128908766207,2.346524399101639,-1.817418414694551e-09
2032 MAR 29 14:02:24.4273141622543,1.216529058791904,0.82631358,0.3291967080348971,1.999611177378572,5.070056916641045,5.689788281080826e-10
2042 MAY 30 18:54:16.7638254165649,2.995065499476336,0.7338654,3.1411772652278187,0.8470125727230644,-0.0405933768501891,2.1662233944791473e-07
2033 MAY 04 15:31:48.9693297147751,0.8665146626506656,0.36829631,0.10247579751767544,-0.3071407379022135,1.0927435149215774,-7.695754580504525e-09
2042 FEB 12 06:29:38.3602237701416,1.490398284447072,0.6955859000000001,0.4015731733739043,2.2876246747967786,4.780674495674009,-1.872675561362394e-09
2033 DEC 28 12:07:50.3893446922302,1.11972009438432,0.54970943,0.6078679144603953,-0.09907249292728201,0.8844286974050073,1.8743117237709424e-09
2048 OCT 08 17:20:16.5251996517181,2.063542546308672,0.57091904,0.06370480742244886,1.8323845229376892,5.234744463124788,-1.531731433299413e-08
2032 OCT 11 00:47:31.6878491640091,1.723099544838672,0.53534056,0.059809853869211234,0.2614033456440253,0.523351929442409,-1.0554058487785166e-09
2032 AUG 10 10:40:09.0380966663361,2.719831651769232,0.68815562,1.0556009624791003,3.558252103599595,3.5100980169634775,-2.8968558398788734e-09
2036 JUL 16 00:14:27.2653694152832,1.591818423370032,0.43408974,0.06287506742407524,4.590449504394658,2.478080497600407,6.751503377952279e-09
2033 JUL 15 06:53:09.9546201229096,2.417107859831808,0.5869694999999999,0.13223364730154472,0.9144495007237836,6.15223226452546,1.1336045315105934e-06
2044 DEC 07 11:12:09.0058712959290,1.9381216195392483,0.69337049,0.2769958474232164,0.7277919453792031,0.06158698347074789,-2.273384393930036e-09
2050 DEC 14 09:03:26.4796478748322,2.141151400447488,0.54221061,0.02989190154239798,4.773873341467713,2.2944994131566125,8.064064661742694e-09
2036 APR 19 01:13:10.7490956783295,1.666062623136912,0.46690429999999994,0.0620065357377468,4.593907750542574,2.4761952119715955,-1.5222390786918265e-06
2038 MAR 06 14:41:53.1263728141785,2.119922357391696,0.54955954,0.03032591082216216,6.195393901173754,7.1555611482752575,6.754861714086226e-09
2036 MAY 18 03:41:00.7729861736298,1.9489927952146078,0.6545675,0.6448716696761858,3.466927404911506,3.600021908146628,5.46803743603227e-10
2040 JUL 15 01:42:25.0010826587677,1.769870900651568,0.50866851,0.1315369851679772,3.128883917141018,3.940437198033801,2.2509017651372206e-09
2032 OCT 18 03:56:02.2820465564728,1.005910855256736,0.05561344,0.1397236946252226,1.5894041154528733,5.481626668617436,-1.929207071723983e-07
2044 JUN 11 21:09:50.9310607910156,0.9046190784080738,0.39539559999999996,0.3386562529543662,6.636337492436644,6.713565330414778,2.0153754531397343e-08
2040 SEP 05 20:19:22.7899835109711,2.698426405866048,0.96455493,3.1415203969587613,6.252439122151461,7.099423276231107,3.996063209237388e-11
2025 JAN 20 11:21:30.7166907787323,2.019923041428864,0.51816216,0.10920098396726406,0.1962275479860529,0.5883756971903553,1.540291711044441e-08
2047 JAN 07 04:55:39.9654364585877,3.018214673560944,0.72669026,0.20707926658526257,2.0686963497953097,5.00265619678218,-1.8044359106652838e-09
2028 FEB 20 06:21:31.2354594469070,1.837314990530448,0.59431894,0.27287236743903964,3.0851790728292077,3.9833322291763507,1.825512704167086e-09
2040 APR 09 03:45:32.9946889877319,1.730880270573168,0.75859907,0.004409848197323311,2.2037301215997815,4.865953065217879,1.432020623740737e-07
2028 APR 27 00:49:09.8127431869507,1.622596020727968,0.55973325,0.4834623638146889,1.2610127066345147,5.806659171413617,4.419708064621304e-07
2051 APR 15 17:11:37.2157721519470,2.5569438195444,0.65082803,0.31609026273680085,2.198373278881619,4.872829851671643,2.720752746833347e-10
2051 APR 29 22:54:22.8470203876495,1.73501903745456,0.54698859,0.0017361103530721255,2.37974571575375,4.68958958293378,-1.910487300457881e-09
